site,year,fuel,PJ
Ardagh Glass Ltd,2048,biomass,0.6883
Ardagh Glass Ltd,2048,electricity,0.3587
Ardagh Glass Ltd,2048,gas,0.5069
Ardagh Glass Ltd,2048,hydrogen,0.0069
Ardagh Glass Ltd,2050,biomass,0.6883
Ardagh Glass Ltd,2050,electricity,0.3587
Ardagh Glass Ltd,2050,gas,0.5069
Ardley Landfill,2026,gas,1.1463
Ardley Landfill,2028,gas,1.1463
Ardley Landfill,2030,gas,1.1463
Ardley Landfill,2032,gas,1.1387
Ardley Landfill,2034,gas,1.131
Ardley Landfill,2036,gas,1.1234
Ardley Landfill,2038,gas,1.1201
Ardley Landfill,2040,gas,1.1168
Ardley Landfill,2042,gas,1.1276
Ardley Landfill,2044,electricity,0.9089
Ardley Landfill,2044,gas,0.1352
Ardley Landfill,2046,electricity,0.9089
Ardley Landfill,2046,gas,0.1319
Ardley Landfill,2048,electricity,0.9089
Ardley Landfill,2048,gas,0.1287
Ardley Landfill,2050,electricity,0.9089
Ardley Landfill,2050,gas,0.1254
Austerfield Works,2026,gas,0.4745
Austerfield Works,2028,gas,0.4745
Austerfield Works,2030,gas,0.4745
Austerfield Works,2032,gas,0.4714
Austerfield Works,2034,gas,0.4682
Austerfield Works,2036,gas,0.465
Austerfield Works,2038,gas,0.4637
Austerfield Works,2040,biomass,0.049
Austerfield Works,2040,gas,0.4162
Austerfield Works,2042,biomass,0.098
Austerfield Works,2042,gas,0.3688
Austerfield Works,2044,biomass,0.098
Austerfield Works,2044,gas,0.3732
Austerfield Works,2046,biomass,0.098
Austerfield Works,2046,electricity,0.2915
Austerfield Works,2046,gas,0.0546
Austerfield Works,2048,biomass,0.098
Austerfield Works,2048,electricity,0.2915
Austerfield Works,2048,gas,0.0533
Austerfield Works,2050,biomass,0.098
Austerfield Works,2050,electricity,0.2915
Austerfield Works,2050,gas,0.0519
Barrow Mill,2026,gas,0.6496
Barrow Mill,2028,biomass,0.069
Barrow Mill,2028,gas,0.5847
