site,year,fuel,PJ
Bones Lane Factory,2036,gas,0.8152
Bridgend Operation,2026,biomass,0.0
Bridgend Operation,2026,gas,0.8426
Bridgend Operation,2027,biomass,0.0
Bridgend Operation,2027,gas,0.8426
Bridgend Operation,2028,biomass,0.0
Bridgend Operation,2028,gas,0.8426
Bridgend Operation,2029,biomass,0.0
Bridgend Operation,2029,gas,0.8426
Bridgend Operation,2030,biomass,0.0
Bridgend Operation,2030,gas,0.8426
Bridgend Operation,2031,biomass,0.0
Bridgend Operation,2031,gas,0.8397
Bridgend Operation,2032,biomass,0.0
Bridgend Operation,2032,gas,0.8369
Bridgend Operation,2033,biomass,0.0
Bridgend Operation,2033,gas,0.8341
Bridgend Operation,2034,biomass,0.0
Bridgend Operation,2034,gas,0.8313
Bridgend Operation,2035,biomass,0.0
Bridgend Operation,2035,gas,0.8285
Bridgend Operation,2036,biomass,0.0
Bridgend Operation,2036,gas,0.8257
Bridgewater Diary,2026,gas,0.2044
Bridgewater Diary,2027,gas,0.2044
Bridgewater Diary,2028,gas,0.2044
Bridgewater Diary,2029,gas,0.2044
Bridgewater Diary,2030,gas,0.2044
Bridgewater Diary,2031,gas,0.2037
Bridgewater Diary,2032,gas,0.203
Bridgewater Diary,2033,gas,0.2023
Bridgewater Diary,2034,gas,0.2016
Bridgewater Diary,2035,gas,0.2009
Bridgewater Diary,2036,gas,0.2003
British Sugar plc - Newark,2026,biomass,0.0001
British Sugar plc - Newark,2026,gas,1.8209
British Sugar plc - Newark,2027,biomass,0.0001
British Sugar plc - Newark,2027,gas,1.8209
British Sugar plc - Newark,2028,biomass,0.0001
British Sugar plc - Newark,2028,gas,1.8209
British Sugar plc - Newark,2029,biomass,0.0001
British Sugar plc - Newark,2029,gas,1.8209
British Sugar plc - Newark,2030,biomass,0.0001
British Sugar plc - Newark,2030,gas,1.8209
British Sugar plc - Newark,2031,biomass,0.0001
British Sugar plc - Newark,2031,gas,1.8148
British Sugar plc - Newark,2032,biomass,0.0001
British Sugar plc - Newark,2032,gas,1.8087
British Sugar plc - Newark,2033,biomass,0.0001
British Sugar plc - Newark,2033,gas,1.8027
British Sugar plc - Newark,2034,biomass,0.0001
British Sugar plc - Newark,2034,gas,1.7966
British Sugar plc - Newark,2035,biomass,0.0001
British Sugar plc - Newark,2035,gas,1.7905
British Sugar plc - Newark,2036,biomass,0.0001
British Sugar plc - Newark,2036,gas,1.7845
Bromborough,2026,gas,0.3934
Bromborough,2027,gas,0.3934
Bromborough,2028,gas,0.3934
Bromborough,2029,gas,0.3934
Bromborough,2030,gas,0.3934
Bromborough,2031,gas,0.3921
Bromborough,2032,gas,0.3908
Bromborough,2033,gas,0.3895
Bromborough,2034,gas,0.3881
Bromborough,2035,gas,0.3868
Bromborough,2036,gas,0.3855
Broomfleet Works,2026,gas,0.29
Broomfleet Works,2027,gas,0.29
Broomfleet Works,2028,gas,0.29
Broomfleet Works,2029,gas,0.29
Broomfleet Works,2030,gas,0.29
Broomfleet Works,2031,gas,0.2891
Broomfleet Works,2032,gas,0.2881
Broomfleet Works,2033,gas,0.2871
Broomfleet Works,2034,gas,0.2862
Broomfleet Works,2035,gas,0.2852
Broomfleet Works,2036,gas,0.2842
Burton Latimer,2026,gas,0.3161
Burton Latimer,2027,gas,0.3161
Burton Latimer,2028,gas,0.3161
Burton Latimer,2029,gas,0.3161
Burton Latimer,2030,gas,0.3161
Burton Latimer,2031,gas,0.3151
Burton Latimer,2032,gas,0.314
Burton Latimer,2033,gas,0.313
Burton Latimer,2034,gas,0.3119
Burton Latimer,2035,gas,0.3109
Burton Latimer,2036,gas,0.3098
Bury St Edmunds Sugar Factory,2026,gas,4.4439
Bury St Edmunds Sugar Factory,2027,gas,4.4439
Bury St Edmunds Sugar Factory,2028,gas,4.4439
Bury St Edmunds Sugar Factory,2029,gas,4.4439
Bury St Edmunds Sugar Factory,2030,gas,4.4439
Bury St Edmunds Sugar Factory,2031,gas,4.4291
Bury St Edmunds Sugar Factory,2032,gas,4.4143
Bury St Edmunds Sugar Factory,2033,gas,4.3994
Bury St Edmunds Sugar Factory,2034,gas,4.3846
Bury St Edmunds Sugar Factory,2035,gas,4.3698
Bury St Edmunds Sugar Factory,2036,gas,4.355
Cambuslang,2026,gas,0.2805
Cambuslang,2027,gas,0.2805
Cambuslang,2028,gas,0.2805
Cambuslang,2029,gas,0.2805
Cambuslang,2030,gas,0.2805
Cambuslang,2031,gas,0.2796
Cambuslang,2032,gas,0.2786
Cambuslang,2033,gas,0.2777
Cambuslang,2034,gas,0.2768
Cambuslang,2035,gas,0.2758
Cambuslang,2036,gas,0.2749
Cantley Sugar Factory,2026,biomass,0.0001
Cantley Sugar Factory,2026,gas,0.8267
Cantley Sugar Factory,2027,biomass,0.0001
Cantley Sugar Factory,2027,gas,0.8267
Cantley Sugar Factory,2028,biomass,0.0001
Cantley Sugar Factory,2028,gas,0.8267
Cantley Sugar Factory,2029,biomass,0.0001
Cantley Sugar Factory,2029,gas,0.8267
Cantley Sugar Factory,2030,biomass,0.0001
Cantley Sugar Factory,2030,gas,0.8267
Cantley Sugar Factory,2031,biomass,0.0001
Cantley Sugar Factory,2031,gas,0.8239
Cantley Sugar Factory,2032,biomass,0.0001
Cantley Sugar Factory,2032,gas,0.8212
Cantley Sugar Factory,2033,biomass,0.0001
Cantley Sugar Factory,2033,gas,0.8184
Cantley Sugar Factory,2034,biomass,0.0001
Cantley Sugar Factory,2034,gas,0.8156
Cantley Sugar Factory,2035,biomass,0.0001
Cantley Sugar Factory,2035,gas,0.8129
Cantley Sugar Factory,2036,biomass,0.0001
Cantley Sugar Factory,2036,gas,0.8101
Cargill - Trafford Park,2026,gas,2.2742
Cargill - Trafford Park,2027,gas,2.2742
Cargill - Trafford Park,2028,gas,2.2742
Cargill - Trafford Park,2029,gas,2.2742
Cargill - Trafford Park,2030,gas,2.2742
Cargill - Trafford Park,2031,gas,2.2666
Cargill - Trafford Park,2032,gas,2.259
Cargill - Trafford Park,2033,gas,2.2514
Cargill - Trafford Park,2034,gas,2.2438
Cargill - Trafford Park,2035,gas,2.2363
Cargill - Trafford Park,2036,gas,2.2287
Cauldon Cement,2026,gas,2.5975
Cauldon Cement,2027,gas,2.6673
Cauldon Cement,2028,gas,2.752
Cauldon Cement,2029,gas,2.8716
Cauldon Cement,2030,gas,2.9912
Cauldon Cement,2031,gas,3.0018
Cauldon Cement,2032,gas,3.0124
Cauldon Cement,2033,gas,3.0231
Cauldon Cement,2034,gas,3.0337
Cauldon Cement,2035,gas,3.055
Cauldon Cement,2036,gas,3.055
Caw House,2026,gas,0.3231
Caw House,2027,gas,0.3231
