site,year,ktCO2e
Essity UK Limited - Prudhoe Mill,2028,43.30598400000001
Essity UK Limited - Prudhoe Mill,2029,43.30598400000001
Essity UK Limited - Prudhoe Mill,2030,43.30598400000001
Essity UK Limited - Prudhoe Mill,2031,43.161630720000005
Essity UK Limited - Prudhoe Mill,2032,43.01727744000001
Essity UK Limited - Prudhoe Mill,2033,42.872924160000004
Essity UK Limited - Prudhoe Mill,2034,42.72857088000001
Essity UK Limited - Prudhoe Mill,2035,42.58421760000001
Essity UK Limited - Prudhoe Mill,2036,42.439864320000005
Esso Petroleum Company Limited,2026,2516.9187840000004
Esso Petroleum Company Limited,2027,2516.9187840000004
Esso Petroleum Company Limited,2028,2516.9187840000004
Esso Petroleum Company Limited,2029,2516.9187840000004
Esso Petroleum Company Limited,2030,2516.9187840000004
Esso Petroleum Company Limited,2031,2508.52905472
Esso Petroleum Company Limited,2032,2500.1393254400004
Esso Petroleum Company Limited,2033,2491.74959616
Esso Petroleum Company Limited,2034,2483.35986688
Esso Petroleum Company Limited,2035,2474.9701376000003
Esso Petroleum Company Limited,2036,2466.5804083200005
Fawley Chemicals,2026,39.190210560000004
Fawley Chemicals,2027,39.190210560000004
Fawley Chemicals,2028,39.190210560000004
Fawley Chemicals,2029,39.190210560000004
Fawley Chemicals,2030,39.19021056000001
Fawley Chemicals,2031,39.05957273600001
Fawley Chemicals,2032,38.92893491200001
Fawley Chemicals,2033,38.798297088
Fawley Chemicals,2034,38.667659264
Fawley Chemicals,2035,38.53702144000001
Fawley Chemicals,2036,38.406383616
Fawley Refinery,2026,564.682752
Fawley Refinery,2027,564.682752
Fawley Refinery,2028,564.682752
Fawley Refinery,2029,564.682752
Fawley Refinery,2030,564.6827520000002
Fawley Refinery,2031,562.80047616
Fawley Refinery,2032,560.9182003200001
Fawley Refinery,2033,559.03592448
Fawley Refinery,2034,557.15364864
Fawley Refinery,2035,555.2713728000001
Fawley Refinery,2036,553.3890969600001
Fife Ethylene Plant,2026,623.1685632000001
Fife Ethylene Plant,2027,623.1685632000001
Fife Ethylene Plant,2028,623.1685632000001
Fife Ethylene Plant,2029,623.1685632000001
Fife Ethylene Plant,2030,623.1685632000001
Fife Ethylene Plant,2031,621.0913346560001
Fife Ethylene Plant,2032,619.014106112
Fife Ethylene Plant,2033,616.9368775679999
Fife Ethylene Plant,2034,614.859649024
Fife Ethylene Plant,2035,612.7824204800002
Fife Ethylene Plant,2036,610.7051919360001
Grangemouth Chemicals,2026,374.67632640000005
Grangemouth Chemicals,2027,374.67632640000005
Grangemouth Chemicals,2028,374.67632640000005
Grangemouth Chemicals,2029,374.67632640000005
Grangemouth Chemicals,2030,374.6763264000001
Grangemouth Chemicals,2031,373.4274053120001
Grangemouth Chemicals,2032,372.17848422400004
Grangemouth Chemicals,2033,370.92956313599996
Grangemouth Chemicals,2034,369.680642048
Grangemouth Chemicals,2035,368.43172096000006
Grangemouth Chemicals,2036,367.18279987200003
Grangemouth Refining,2026,132.34467840000002
Grangemouth Refining,2027,132.34467840000002
Grangemouth Refining,2028,132.34467840000002
Grangemouth Refining,2029,132.34467840000002
Grangemouth Refining,2030,132.34467840000002
Grangemouth Refining,2031,131.90352947200003
Grangemouth Refining,2032,131.46238054400004
Grangemouth Refining,2033,131.02123161600002
Grangemouth Refining,2034,130.58008268800003
Grangemouth Refining,2035,130.13893376000004
Grangemouth Refining,2036,129.69778483200002
Guardian Industries UK Limited,2026,96.88605696000002
Guardian Industries UK Limited,2027,96.88605696000002
Guardian Industries UK Limited,2028,96.88605696000002
Guardian Industries UK Limited,2029,96.88605696000002
Guardian Industries UK Limited,2030,96.88605696000003
Guardian Industries UK Limited,2031,96.56309964800003
Guardian Industries UK Limited,2032,96.24014233600005
Guardian Industries UK Limited,2033,95.91718502400002
Guardian Industries UK Limited,2034,95.594227712
Guardian Industries UK Limited,2035,95.27127040000003
Guardian Industries UK Limited,2036,94.94831308800002
Hindlow Lime,2026,156.88871424
Hindlow Lime,2027,156.88871424
Hindlow Lime,2028,156.88871424
Hindlow Lime,2029,156.88871424
Hindlow Lime,2030,156.88871424000004
Hindlow Lime,2031,156.36574617600004
Hindlow Lime,2032,155.84277811200005
Hindlow Lime,2033,155.31981004799997
Hindlow Lime,2034,154.796841984
Hindlow Lime,2035,154.27387392000006
Hindlow Lime,2036,153.75090585600003
Hope Cement Works,2026,773.6745888
Hope Cement Works,2027,794.4722928
Hope Cement Works,2028,778.4455916160001
Hope Cement Works,2029,753.6409267680001
Hope Cement Works,2030,728.8362619200001
Hope Cement Works,2031,702.5331153600001
Hope Cement Works,2032,676.2299688
Hope Cement Works,2033,649.9268222400001
Hope Cement Works,2034,623.6236756800002
Hope Cement Works,2035,571.0173825600001
Hope Cement Works,2036,571.0173825600002
Humber Refinery,2026,2112.7977984000004
