site,tech,year,units
Dunbar Plant,cement_kiln_ccs,2033,0.1668
Dunbar Plant,cement_kiln_ccs,2034,0.2201
Dunbar Plant,cement_kiln_ccs,2035,0.2257
Dunbar Plant,cement_kiln_ccs,2036,0.2257
Ribblesdale Works,cement_kiln,2026,0.5186
Ribblesdale Works,cement_kiln,2027,0.5325
Ribblesdale Works,cement_kiln,2028,0.5018
Ribblesdale Works,cement_kiln,2029,0.5018
Ribblesdale Works,cement_kiln,2030,0.4832
Ribblesdale Works,cement_kiln,2031,0.4646
Ribblesdale Works,cement_kiln,2032,0.446
Ribblesdale Works,cement_kiln,2033,0.4275
Ribblesdale Works,cement_kiln,2034,0.4089
Ribblesdale Works,cement_kiln,2035,0.3717
Ribblesdale Works,cement_kiln,2036,0.3717
Ribblesdale Works,cement_kiln_ccs,2028,0.0447
Ribblesdale Works,cement_kiln_ccs,2029,0.0642
Ribblesdale Works,cement_kiln_ccs,2030,0.1023
Ribblesdale Works,cement_kiln_ccs,2031,0.1209
Ribblesdale Works,cement_kiln_ccs,2032,0.1394
Ribblesdale Works,cement_kiln_ccs,2033,0.158
Ribblesdale Works,cement_kiln_ccs,2034,0.1766
Ribblesdale Works,cement_kiln_ccs,2035,0.2138
Ribblesdale Works,cement_kiln_ccs,2036,0.2138
Grangemouth Chemicals,gas_boiler,2026,6.5927
Grangemouth Chemicals,gas_boiler,2027,6.5927
Grangemouth Chemicals,gas_boiler,2028,6.5927
Grangemouth Chemicals,gas_boiler,2029,6.5927
Grangemouth Chemicals,gas_boiler,2030,6.5927
Grangemouth Chemicals,gas_boiler,2031,6.5707
Grangemouth Chemicals,gas_boiler,2032,6.5487
Grangemouth Chemicals,gas_boiler,2033,6.5268
Grangemouth Chemicals,gas_boiler,2034,6.5048
Grangemouth Chemicals,gas_boiler,2035,6.4828
Grangemouth Chemicals,gas_boiler,2036,6.4608
Padeswood Works,cement_kiln,2026,0.432
Padeswood Works,cement_kiln,2027,0.4436
Padeswood Works,cement_kiln,2028,0.4267
Padeswood Works,cement_kiln,2029,0.4181
Padeswood Works,cement_kiln,2030,0.4026
Padeswood Works,cement_kiln,2031,0.3872
Padeswood Works,cement_kiln,2032,0.3717
Padeswood Works,cement_kiln,2033,0.3562
Padeswood Works,cement_kiln,2034,0.3407
Padeswood Works,cement_kiln,2035,0.3097
Padeswood Works,cement_kiln,2036,0.3097
Padeswood Works,cement_kiln_ccs,2028,0.0285
Padeswood Works,cement_kiln_ccs,2029,0.0533
Padeswood Works,cement_kiln_ccs,2030,0.0533
Padeswood Works,cement_kiln_ccs,2031,0.1006
Padeswood Works,cement_kiln_ccs,2032,0.1161
Padeswood Works,cement_kiln_ccs,2033,0.1315
Padeswood Works,cement_kiln_ccs,2034,0.147
Padeswood Works,cement_kiln_ccs,2035,0.178
Padeswood Works,cement_kiln_ccs,2036,0.178
Tunstead Lime,gas_boiler,2026,5.7392
Tunstead Lime,gas_boiler,2027,5.7392
Tunstead Lime,gas_boiler,2028,5.7392
Tunstead Lime,gas_boiler,2029,5.7392
Tunstead Lime,gas_boiler,2030,5.7392
Tunstead Lime,gas_boiler,2031,5.7201
Tunstead Lime,gas_boiler,2032,5.7009
Tunstead Lime,gas_boiler,2033,5.6818
Tunstead Lime,gas_boiler,2034,5.6627
Tunstead Lime,gas_boiler,2035,5.6435
Tunstead Lime,gas_boiler,2036,5.6244
Wissington Sugar Factory,biomass_boiler,2026,0.0
Wissington Sugar Factory,biomass_boiler,2027,0.0
Wissington Sugar Factory,biomass_boiler,2028,0.0
Wissington Sugar Factory,biomass_boiler,2029,0.0
Wissington Sugar Factory,biomass_boiler,2030,0.0
Wissington Sugar Factory,biomass_boiler,2031,0.0
Wissington Sugar Factory,biomass_boiler,2032,0.0
Wissington Sugar Factory,biomass_boiler,2033,0.0
Wissington Sugar Factory,biomass_boiler,2034,0.0
Wissington Sugar Factory,biomass_boiler,2035,0.0
Wissington Sugar Factory,biomass_boiler,2036,0.0
Wissington Sugar Factory,gas_boiler,2026,5.6639
Wissington Sugar Factory,gas_boiler,2027,5.6639
Wissington Sugar Factory,gas_boiler,2028,5.6639
Wissington Sugar Factory,gas_boiler,2029,5.6639
Wissington Sugar Factory,gas_boiler,2030,5.6639
Wissington Sugar Factory,gas_boiler,2031,5.645
Wissington Sugar Factory,gas_boiler,2032,5.6261
Wissington Sugar Factory,gas_boiler,2033,5.6072
Wissington Sugar Factory,gas_boiler,2034,5.5884
Wissington Sugar Factory,gas_boiler,2035,5.5695
Wissington Sugar Factory,gas_boiler,2036,5.5506
Aberthaw Cement Plant,cement_kiln,2026,0.358
Aberthaw Cement Plant,cement_kiln,2027,0.3676
Aberthaw Cement Plant,cement_kiln,2028,0.3592
Aberthaw Cement Plant,cement_kiln,2029,0.3464
Aberthaw Cement Plant,cement_kiln,2030,0.3335
Aberthaw Cement Plant,cement_kiln,2031,0.3207
Aberthaw Cement Plant,cement_kiln,2032,0.3079
Aberthaw Cement Plant,cement_kiln,2033,0.295
Aberthaw Cement Plant,cement_kiln,2034,0.2822
Aberthaw Cement Plant,cement_kiln,2035,0.2566
Aberthaw Cement Plant,cement_kiln,2036,0.2566
Aberthaw Cement Plant,cement_kiln_ccs,2028,0.018
Aberthaw Cement Plant,cement_kiln_ccs,2029,0.0443
Aberthaw Cement Plant,cement_kiln_ccs,2030,0.0706
Aberthaw Cement Plant,cement_kiln_ccs,2031,0.0834
Aberthaw Cement Plant,cement_kiln_ccs,2032,0.0963
Aberthaw Cement Plant,cement_kiln_ccs,2033,0.1091
Aberthaw Cement Plant,cement_kiln_ccs,2034,0.1219
Aberthaw Cement Plant,cement_kiln_ccs,2035,0.1476
Aberthaw Cement Plant,cement_kiln_ccs,2036,0.1476
Cookstown Cement,cement_kiln,2026,0.3355
Cookstown Cement,cement_kiln,2027,0.3446
Cookstown Cement,cement_kiln,2028,0.3368
Cookstown Cement,cement_kiln,2029,0.3247
Cookstown Cement,cement_kiln,2030,0.3127
Cookstown Cement,cement_kiln,2031,0.3007
Cookstown Cement,cement_kiln,2032,0.2886
Cookstown Cement,cement_kiln,2033,0.2766
Cookstown Cement,cement_kiln,2034,0.2646
Cookstown Cement,cement_kiln,2035,0.2405
Cookstown Cement,cement_kiln,2036,0.2405
Cookstown Cement,cement_kiln_ccs,2028,0.0168
Cookstown Cement,cement_kiln_ccs,2029,0.0415
Cookstown Cement,cement_kiln_ccs,2030,0.0661
Cookstown Cement,cement_kiln_ccs,2031,0.0782
Cookstown Cement,cement_kiln_ccs,2032,0.0902
Cookstown Cement,cement_kiln_ccs,2033,0.1022
Cookstown Cement,cement_kiln_ccs,2034,0.1142
Cookstown Cement,cement_kiln_ccs,2035,0.1383
Cookstown Cement,cement_kiln_ccs,2036,0.1383
Bury St Edmunds Sugar Factory,gas_boiler,2026,4.0035
Bury St Edmunds Sugar Factory,gas_boiler,2027,4.0035
Bury St Edmunds Sugar Factory,gas_boiler,2028,4.0035
Bury St Edmunds Sugar Factory,gas_boiler,2029,4.0035
Bury St Edmunds Sugar Factory,gas_boiler,2030,4.0035
Bury St Edmunds Sugar Factory,gas_boiler,2031,3.9902
Bury St Edmunds Sugar Factory,gas_boiler,2032,3.9768
Bury St Edmunds Sugar Factory,gas_boiler,2033,3.9635
Bury St Edmunds Sugar Factory,gas_boiler,2034,3.9501
Bury St Edmunds Sugar Factory,gas_boiler,2035,3.9368
Bury St Edmunds Sugar Factory,gas_boiler,2036,3.9234
Melton Ross Limeworks,gas_boiler,2026,3.8699
Melton Ross Limeworks,gas_boiler,2027,3.8699
Melton Ross Limeworks,gas_boiler,2028,3.8699
Melton Ross Limeworks,gas_boiler,2029,3.8699
Melton Ross Limeworks,gas_boiler,2030,3.8699
Melton Ross Limeworks,gas_boiler,2031,3.857
Melton Ross Limeworks,gas_boiler,2032,3.8441
Melton Ross Limeworks,gas_boiler,2033,3.8312
Melton Ross Limeworks,gas_boiler,2034,3.8183
Melton Ross Limeworks,gas_boiler,2035,3.8054
Melton Ross Limeworks,gas_boiler,2036,3.7925
Encirc Glass,gas_boiler,2026,3.4303
Encirc Glass,gas_boiler,2027,3.4303
Encirc Glass,gas_boiler,2028,3.4303
Encirc Glass,gas_boiler,2029,3.4303
Encirc Glass,gas_boiler,2030,3.4303
Encirc Glass,gas_boiler,2031,3.4189
Encirc Glass,gas_boiler,2032,3.4074
Encirc Glass,gas_boiler,2033,3.396
Encirc Glass,gas_boiler,2034,3.3846
Encirc Glass,gas_boiler,2035,3.3731
Encirc Glass,gas_boiler,2036,3.3617
Whitwell Works Lime Kiln Plant,gas_boiler,2026,3.0474
Whitwell Works Lime Kiln Plant,gas_boiler,2027,3.0474
Whitwell Works Lime Kiln Plant,gas_boiler,2028,3.0474
Whitwell Works Lime Kiln Plant,gas_boiler,2029,3.0474
Whitwell Works Lime Kiln Plant,gas_boiler,2030,3.0474
Whitwell Works Lime Kiln Plant,gas_boiler,2031,3.0372
Whitwell Works Lime Kiln Plant,gas_boiler,2032,3.0271
Whitwell Works Lime Kiln Plant,gas_boiler,2033,3.0169
Whitwell Works Lime Kiln Plant,gas_boiler,2034,3.0068
Whitwell Works Lime Kiln Plant,gas_boiler,2035,2.9966
Whitwell Works Lime Kiln Plant,gas_boiler,2036,2.9865
Partington Papermill,biomass_boiler,2026,0.0
Partington Papermill,biomass_boiler,2027,0.0
Partington Papermill,biomass_boiler,2028,0.0
Partington Papermill,biomass_boiler,2029,0.0
Partington Papermill,biomass_boiler,2030,0.0
Partington Papermill,biomass_boiler,2031,0.0
Partington Papermill,biomass_boiler,2032,0.0
Partington Papermill,biomass_boiler,2033,0.0
Partington Papermill,biomass_boiler,2034,0.0
Partington Papermill,biomass_boiler,2035,0.0
Partington Papermill,biomass_boiler,2036,0.0
Partington Papermill,gas_boiler,2026,2.8696
Partington Papermill,gas_boiler,2027,2.8696
Partington Papermill,gas_boiler,2028,2.8696
Partington Papermill,gas_boiler,2029,2.8696
Partington Papermill,gas_boiler,2030,2.8696
Partington Papermill,gas_boiler,2031,2.8601
Partington Papermill,gas_boiler,2032,2.8505
Partington Papermill,gas_boiler,2033,2.841
Partington Papermill,gas_boiler,2034,2.8314
Partington Papermill,gas_boiler,2035,2.8218
Partington Papermill,gas_boiler,2036,2.8123
