site,sector,band,traded,commodity,demand_pj,incumbent_tech,start_capacity,inertia_factor,cluster,layer,source,retrieved,basis
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,steel,small,True,steel,0.0211,bof,0.0235,1.248,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Knauf Drywall Sittingbourne,heat,small,True,heat,0.6911,gas_boiler,0.7679,1.274,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Fawley Chemicals,heat,small,True,heat,0.6896,gas_boiler,0.7662,1.3,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Tata Steel Packaging Plus UK,steel,small,True,steel,0.0203,bof,0.0225,1.326,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Solutia UK Limited - Newport,heat,small,True,heat,0.6571,gas_boiler,0.7301,1.352,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Desford,heat,small,True,heat,0.6468,gas_boiler,0.7186,1.378,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Knauf Immingham,heat,small,True,heat,0.6433,gas_boiler,0.7148,1.404,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
INOVYN Chlorvinyls Newton Aycliffe,heat,small,True,heat,0.6429,gas_boiler,0.7144,1.43,Teesside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Llanwern Steelworks,steel,small,True,steel,0.0188,bof,0.0209,1.456,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Knauf Insulation Queensferry,heat,small,True,heat,0.6151,gas_boiler,0.6835,1.482,Merseyside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Robertsbridge Gypsum Works,heat,small,True,heat,0.6123,gas_boiler,0.6804,1.508,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Eastham Refinery Limited,heat,small,True,heat,0.6083,gas_boiler,0.6759,1.534,Merseyside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Billingham Fertilizer Works,heat,small,True,heat,0.6011,gas_boiler,0.6679,1.56,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Measham,heat,small,True,heat,0.5932,gas_boiler,0.6591,1.586,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Sherburn Gypsum Works,heat,small,True,heat,0.586,gas_boiler,0.6511,1.612,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Barrow Mill,heat,small,True,heat,0.5852,gas_boiler,0.6503,1.638,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Nissan Motor Manufacturing (UK) Ltd,heat,small,True,heat,0.5764,gas_boiler,0.6405,1.664,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Plasmor Limited,heat,small,True,heat,0.5715,gas_boiler,0.635,1.69,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
ets_tail_heat,heat,small,True,heat,45.0968,gas_boiler,50.1075,1.3,Dispersed,ets_tail,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (sub-100 aggregate; traded - v1 flag fixed)",2026-08-16,derived
ets_tail_steel,steel,small,True,steel,0.0771,bof,0.0857,1.3,Dispersed,ets_tail,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026) (sub-100 aggregate; traded - v1 flag fixed)",2026-08-16,derived
Dumfries,heat,small,False,heat,0.2972,gas_boiler,0.3302,1.318,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
